bigram;freq;percentile_100;freq10;freq20;freq30_50
rp;751;6,3;;;
rq;330;5,6;;;
rr;2324;7,7;;;HF
rs;3304;8,4;;HF;HF
rt;2762;8;;;HF
ru;1539;7;;;HF
rv;733;6,2;;;
rw;6;1,6;;LF;LF
rx;4;1,2;;LF;LF
ry;265;5,3;;;
rz;14;2,5;;;LF
sa;6940;9,3;HF;HF;HF
sb;60;3,7;;;LF
sc;2041;7,4;;;HF
sd;14;2,5;;;LF
se;9824;9,6;HF;HF;HF
sf;136;4,6;;;LF
sg;43;3,4;;;LF
sh;242;5,2;;;
si;4989;9;HF;HF;HF
sj;20;2,7;;;LF
sk;62;3,8;;;LF
sl;98;4,2;;;LF
sm;1193;6,8;;;
sn;48;3,5;;;LF
so;3703;8,5;;HF;HF
sp;1594;7;;;HF
sq;468;5,9;;;
sr;7;1,8;;LF;LF
ss;8678;9,6;HF;HF;HF
st;6436;9,2;HF;HF;HF
su;2879;8;;HF;HF
sv;23;2,8;;;LF
sw;14;2,5;;;LF
sy;525;6;;;
sz;1;0;LF;LF;LF
ta;8033;9,4;HF;HF;HF
tb;6;1,6;;LF;LF
tc;78;3,9;;;LF
td;1;0;LF;LF;LF
te;14029;9,8;HF;HF;HF
tf;2;0,6;LF;LF;LF
tg;6;1,6;;LF;LF
th;1475;7;;;
ti;13270;9,8;HF;HF;HF
tj;1;0;LF;LF;LF
tl;30;3;;;LF
tm;23;2,8;;;LF
tn;9;2;;LF;LF
to;4346;8,8;;HF;HF
tp;12;2,2;;;LF
tr;7970;9,4;HF;HF;HF
ts;2861;8;;HF;HF
tt;2961;8,2;;HF;HF
tu;2541;7,8;;;HF
tv;3;1,1;;LF;LF
tw;11;2,2;;;LF
ty;288;5,5;;;
tz;33;3,1;;;LF
ua;2041;7,4;;;HF
ub;1088;6,6;;;
uc;1788;7,2;;;HF
ud;1143;6,7;;;
ue;7511;9,3;HF;HF;HF
uë;15;2,5;;;LF
uf;705;6,2;;;
ug;732;6,2;;;
uh;47;3,4;;;LF
ui;3718;8,6;;HF;HF
uj;40;3,3;;;LF
uk;30;3;;;LF
ul;4023;8,7;;HF;HF
um;1495;7;;;
un;968;6,5;;;
uo;184;4,9;;;LF
up;1387;6,9;;;
uq;126;4,5;;;LF
ur;9183;9,6;HF;HF;HF
us;4840;9;;HF;HF
ut;3058;8,3;;HF;HF
uu;4;1,2;;LF;LF
uv;1118;6,6;;;
uw;1;0;LF;LF;LF
ux;1175;6,8;;;
uy;115;4,3;;;LF
uz;51;3,5;;;LF
va;2562;7,9;;;HF
ve;4092;8,7;;HF;HF
vh;1;0;LF;LF;LF
vi;2947;8,1;;HF;HF
vk;1;0;LF;LF;LF
vl;7;1,8;;LF;LF
vn;2;0,6;LF;LF;LF
vo;1626;7,1;;;HF
vr;735;6,3;;;
vs;2;0,6;LF;LF;LF
vt;1;0;LF;LF;LF
vu;169;4,8;;;LF
vy;1;0;LF;LF;LF
vz;1;0;LF;LF;LF
wa;61;3,8;;;LF
we;40;3,3;;;LF
wh;9;2;;LF;LF
wi;39;3,3;;;LF
wk;2;0,6;LF;LF;LF
wl;6;1,6;;LF;LF
wn;12;2,2;;;LF
wo;10;2,1;;;LF
wr;4;1,2;;LF;LF
ws;8;1,9;;LF;LF
wt;6;1,6;;LF;LF
xa;278;5,4;;;
xc;283;5,5;;;
xd;2;0,6;LF;LF;LF
xe;187;4,9;;;LF
xf;8;1,9;;LF;LF
xh;93;4,1;;;LF
xi;477;5,9;;;
xl;9;2;;LF;LF
xo;140;4,6;;;LF
xp;494;5,9;;;
xq;6;1,6;;LF;LF
xs;15;2,5;;;LF
xt;309;5,5;;;
xu;91;4,1;;;LF
xv;12;2,2;;;LF
xw;3;1,1;;LF;LF
xx;31;3;;;LF
xy;80;4;;;LF
ya;696;6,1;;;
yb;29;2,9;;;LF
yc;408;5,7;;;
yd;205;5;;;LF
ye;392;5,7;;;
yf;9;2;;LF;LF
yg;100;4,3;;;LF
yh;4;1,2;;LF;LF
yi;29;2,9;;;LF
yj;2;0,6;LF;LF;LF
