bigram;freq;percentile_100;freq10;freq20;freq30_50
ti;634488;9,74;HF;HF;HF
tj;23444;6,29;;;
tk;8620;5,31;;;
tl;34949;6,79;;;
tm;11629;5,59;;;
tn;30608;6,62;;;
to;187279;8,89;;HF;HF
tö;26526;6,41;;;
tp;5493;4,88;;;LF
tq;9;0,92;LF;LF;LF
tr;258586;9,19;HF;HF;HF
ts;133345;8,6;;HF;HF
tt;1097106;9,95;HF;HF;HF
tu;68216;7,73;;;HF
tv;54624;7,39;;;HF
tw;2244;4,11;;;LF
tx;5;0,66;LF;LF;LF
ty;81595;8;;HF;HF
tz;317;2,92;;;LF
ua;11456;5,57;;;
uä;11;0,99;LF;LF;LF
uå;45;1,67;;LF;LF
ub;17483;6,02;;;
uc;10629;5,5;;;
ud;43089;7,02;;;HF
ue;9427;5,36;;;
ué;2;0,22;LF;LF;LF
uf;9928;5,43;;;
ug;36191;6,81;;;
uh;677;3,41;;;LF
ui;5224;4,83;;;LF
uj;144;2,34;;;LF
uk;62911;7,61;;;HF
ul;127389;8,56;;HF;HF
um;50433;7,31;;;HF
un;212216;9;HF;HF;HF
uo;433;3,08;;;LF
uö;14;1,12;;LF;LF
up;117329;8,45;;HF;HF
uq;21;1,25;;LF;LF
ur;114144;8,39;;HF;HF
us;109003;8,35;;HF;HF
ut;245028;9,14;HF;HF;HF
uu;1955;3,96;;;LF
uv;13013;5,73;;;
uw;25;1,34;;LF;LF
ux;3756;4,5;;;LF
uy;562;3,28;;;LF
uz;185;2,48;;;LF
va;496462;9,62;HF;HF;HF
vä;237084;9,11;HF;HF;HF
vå;83137;8,03;;HF;HF
vb;2354;4,13;;;LF
vc;141;2,33;;;LF
vd;6928;5,1;;;
ve;329563;9,33;HF;HF;HF
vé;66;1,83;;LF;LF
vf;1728;3,86;;;LF
vg;1975;3,98;;;LF
vh;863;3,52;;;LF
vi;395589;9,47;HF;HF;HF
vj;2012;4;;;LF
vk;5754;4,94;;;LF
vl;28242;6,51;;;
vm;2676;4,21;;;LF
vn;8960;5,35;;;
vo;21177;6,22;;;
vö;1430;3,75;;;LF
vp;433;3,08;;;LF
vq;1;0;LF;LF;LF
vr;9818;5,42;;;
vs;28333;6,53;;;
vt;13007;5,71;;;
vu;16557;5,98;;;
vv;2249;4,12;;;LF
