bigram;freq;percentile_100;freq10;freq20;freq30_50
ka;1393;86;;HF;HF
kb;75;49;;;LF
kc;26;36;;;LF
kd;19;33;;;
ke;3024;95;HF;HF;HF
kf;46;43;;;LF
kg;40;41;;;LF
kh;63;47;;;LF
ki;345;66;;;
kj;0;0;LF;LF;LF
kk;81;50;;;LF
kl;808;79;;;HF
km;37;40;;;LF
kn;226;61;;;
ko;1487;88;;HF;HF
kp;15;30;;;LF
kq;5;25;;;LF
kr;887;80;;HF;HF
ks;269;63;;;
kt;949;81;;HF;HF
ku;961;81;;HF;HF
kv;18;32;;;LF
kw;48;44;;;LF
kx;0;0;LF;LF;LF
ky;8;27;;;LF
kz;59;46;;;LF
la;3067;95;HF;HF;HF
lb;553;71;;;HF
lc;111;54;;;
ld;613;73;;;HF
le;4162;97;HF;HF;HF
lf;269;63;;;
lg;290;64;;;
lh;140;57;;;
li;4160;97;HF;HF;HF
lj;15;30;;;LF
lk;343;66;;;
ll;2352;93;HF;HF;HF
lm;223;61;;;
ln;685;75;;;HF
lo;1501;88;;HF;HF
lp;168;58;;;
lq;7;26;;;LF
lr;86;51;;;
ls;530;70;;;HF
lt;1153;84;;HF;HF
lu;1440;88;;HF;HF
lv;124;56;;;
lw;96;52;;;
lx;0;0;LF;LF;LF
ly;80;50;;;LF
lz;268;63;;;
ma;1968;91;HF;HF;HF
mb;247;62;;;
mc;23;35;;;LF
md;72;48;;;LF
me;2658;94;HF;HF;HF
mf;81;50;;;LF
mg;61;46;;;LF
mh;77;50;;;LF
mi;1444;88;;HF;HF
mj;2;20;;LF;LF
mk;101;53;;;
ml;168;58;;;
mm;1215;85;;HF;HF
mn;67;48;;;LF
mo;801;78;;;HF
mp;745;77;;;HF
