bigram;freq;percentile_100;freq10;freq20;freq30_50
zg;198880;6,4;;;
zh;3821;3,1;;;LF
zi;4174428;9,7;HF;HF;HF
zj;124687;5,9;;;
zk;421196;7,3;;;HF
zl;76073;5,2;;;
zm;401863;7,3;;;HF
zn;1257780;8,8;;HF;HF
zo;1039041;8,5;;HF;HF
zp;162927;6,1;;;
zq;70;0,7;LF;LF;LF
zr;476794;7,5;;;HF
zs;27122;4,3;;;LF
zt;155427;6,1;;;
zu;723921;8,1;;HF;HF
zv;409;1,5;;LF;LF
zw;576937;7,7;;;HF
zx;95;0,9;LF;LF;LF
zy;4474511;9,8;HF;HF;HF
zz;19532;4,1;;;LF
