bigram;freq;percentile_100;freq10;freq20;freq30_50
ea;1021;66;;;
eb;1916;77;;;HF
ec;3035;84;;HF;HF
ed;5487;92;HF;HF;HF
ee;10403;96;HF;HF;HF
ef;2472;81;;HF;HF
eg;4572;90;;HF;HF
eh;939;64;;;
ei;8719;95;HF;HF;HF
ej;165;42;;;LF
ek;6655;94;HF;HF;HF
el;20098;100;HF;HF;HF
em;4506;90;;HF;HF
en;34237;100;HF;HF;HF
eo;708;60;;;
ep;3003;84;;HF;HF
eq;90;35;;;LF
er;40573;100;HF;HF;HF
es;7563;94;HF;HF;HF
et;7235;94;HF;HF;HF
eu;3682;87;;HF;HF
ev;3209;85;;HF;HF
ew;1423;73;;;HF
ex;639;59;;;
ey;83;34;;;LF
ez;1655;75;;;HF
fa;961;64;;;
fb;320;51;;;
fc;32;27;;;LF
fd;809;62;;;
fe;1985;77;;;HF
ff;1047;67;;;
fg;220;46;;;LF
fh;194;44;;;LF
fi;1704;75;;;HF
fj;112;37;;;LF
fk;263;49;;;LF
fl;904;64;;;
fm;124;39;;;LF
fn;49;29;;;LF
fo;1327;71;;;HF
fp;159;41;;;LF
fq;0;0;LF;LF;LF
fr;732;61;;;
fs;1048;67;;;
ft;905;64;;;
fu;312;51;;;
fv;200;45;;;LF
fw;204;45;;;LF
fx;0;0;LF;LF;LF
fy;100;35;;;LF
fz;160;42;;;LF
ga;2381;80;;HF;HF
gb;397;53;;;
gc;58;31;;;LF
gd;570;57;;;
ge;14120;98;HF;HF;HF
gf;41;28;;;LF
gg;626;58;;;
gh;1244;70;;;
gi;2593;82;;HF;HF
gj;57;31;;;LF
gk;242;47;;;LF
gl;866;63;;;
gm;264;49;;;LF
gn;394;53;;;
go;1445;73;;;HF
gp;159;41;;;LF
gq;2;13;;LF;LF
gr;3036;84;;HF;HF
gs;4005;88;;HF;HF
gt;360;52;;;
gu;431;54;;;
gv;259;48;;;LF
gw;169;43;;;LF
gx;0;0;LF;LF;LF
gy;62;32;;;LF
gz;159;41;;;LF
ha;5187;91;HF;HF;HF
hb;14;24;;;LF
hc;5;19;;LF;LF
hd;7;21;;;LF
he;8097;95;HF;HF;HF
hf;3;15;;LF;LF
hg;5;19;;LF;LF
hh;4;17;;LF;LF
