bigram;freq;percentile_100;freq10;freq20;freq30-50
si;234863;9,1;HF;HF;HF
sj;59637;7,5;;;HF
sk;548530;9,7;HF;HF;HF
sl;104472;8,3;;HF;HF
sm;70364;7,8;;;HF
sn;71655;7,8;;;HF
so;458982;9,6;HF;HF;HF
sö;48680;7,2;;;HF
sp;101640;8,2;;HF;HF
sq;616;3,3;;;LF
sr;9497;5,4;;;
ss;207890;9,0;;HF;HF
st;738332;9,8;HF;HF;HF
su;50346;7,3;;;HF
sv;75675;7,9;;;HF
sw;1688;3,8;;;LF
sx;2;0,2;LF;LF;LF
sy;28531;6,6;;;
sz;144;2,3;;;LF
ta;700365;9,8;HF;HF;HF
tä;112356;8,4;;HF;HF
tå;43109;7,0;;;HF
tb;14307;5,9;;;
tc;6681;5,1;;;
td;3354;4,4;;;LF
te;920710;9,9;HF;HF;HF
té;939;3,6;;;LF
tf;23173;6,3;;;
tg;6021;5,0;;;LF
th;80367;8,0;;;HF
ti;634488;9,7;HF;HF;HF
tj;23444;6,3;;;
tk;8620;5,3;;;
tl;34949;6,8;;;
tm;11629;5,6;;;
tn;30608;6,6;;;
to;187279;8,9;;HF;HF
tö;26526;6,4;;;
tp;5493;4,9;;;LF
tq;9;0,9;LF;LF;LF
tr;258586;9,2;HF;HF;HF
ts;133345;8,6;;HF;HF
tt;1097106;10,0;HF;HF;HF
tu;68216;7,7;;;HF
tv;54624;7,4;;;HF
tw;2244;4,1;;;LF
tx;5;0,7;LF;LF;LF
ty;81595;8,0;;HF;HF
tz;317;2,9;;;LF
ua;11456;5,6;;;
uä;11;1,0;LF;LF;LF
uå;45;1,7;;LF;LF
ub;17483;6,0;;;
uc;10629;5,5;;;
ud;43089;7,0;;;HF
ue;9427;5,4;;;
ué;2;0,2;LF;LF;LF
uf;9928;5,4;;;
ug;36191;6,8;;;
uh;677;3,4;;;LF
ui;5224;4,8;;;LF
uj;144;2,3;;;LF
uk;62911;7,6;;;HF
ul;127389;8,6;;HF;HF
um;50433;7,3;;;HF
un;212216;9,0;HF;HF;HF
uo;433;3,1;;;LF
uö;14;1,1;;LF;LF
up;117329;8,5;;HF;HF
uq;21;1,3;;LF;LF
ur;114144;8,4;;HF;HF
us;109003;8,4;;HF;HF
ut;245028;9,1;HF;HF;HF
uu;1955;4,0;;;LF
uv;13013;5,7;;;
uw;25;1,3;;LF;LF
ux;3756;4,5;;;LF
uy;562;3,3;;;LF
uz;185;2,5;;;LF
va;496462;9,6;HF;HF;HF
vä;237084;9,1;HF;HF;HF
vå;83137;8,0;;HF;HF
vb;2354;4,1;;;LF
vc;141;2,3;;;LF
vd;6928;5,1;;;
ve;329563;9,3;HF;HF;HF
vé;66;1,8;;LF;LF
vf;1728;3,9;;;LF
vg;1975;4,0;;;LF
vh;863;3,5;;;LF
vi;395589;9,5;HF;HF;HF
vj;2012;4,0;;;LF
vk;5754;4,9;;;LF
vl;28242;6,5;;;
vm;2676;4,2;;;LF
vn;8960;5,4;;;
vo;21177;6,2;;;
vö;1430;3,8;;;LF
vp;433;3,1;;;LF
vq;1;0,0;LF;LF;LF
vr;9818;5,4;;;
vs;28333;6,5;;;
vt;13007;5,7;;;
vu;16557;6,0;;;
vv;2249;4,1;;;LF
vw;1;0,0;LF;LF;LF
vy;634;3,4;;;LF
vz;2;0,2;LF;LF;LF
wa;12413;5,7;;;
wä;9;0,9;LF;LF;LF
wå;23;1,3;;LF;LF
wb;278;2,8;;;LF
wc;31;1,5;;LF;LF
wd;350;3,0;;;LF
we;16038;6,0;;;
wf;85;2,0;;LF;LF
wg;18;1,2;;LF;LF
wh;8200;5,3;;;
wi;13145;5,8;;;
wj;51;1,7;;LF;LF
wk;28;1,4;;LF;LF
wl;583;3,3;;;LF
wm;60;1,8;;LF;LF
wn;2907;4,3;;;LF
wo;7485;5,2;;;
wö;29;1,5;;LF;LF
wp;29;1,5;;LF;LF
wr;1067;3,6;;;LF
ws;1121;3,6;;;LF
wt;230;2,7;;;LF
wu;23;1,3;;LF;LF
wv;3;0,4;LF;LF;LF
ww;66;1,8;;LF;LF
wy;60;1,8;;LF;LF
xa;14077;5,9;;;
xä;2;0,2;LF;LF;LF
xå;523;3,2;;;LF
xb;221;2,7;;;LF
xc;693;3,4;;;LF
xd;133;2,3;;;LF
xe;11822;5,6;;;
xé;5;0,7;LF;LF;LF
xf;528;3,2;;;LF
xg;57;1,7;;LF;LF
xh;196;2,6;;;LF
xi;5421;4,8;;;LF
xj;128;2,3;;;LF
xk;650;3,4;;;LF
xl;1949;3,9;;;LF
xm;136;2,3;;;LF
xn;1718;3,8;;;LF
xo;5673;4,9;;;LF
xö;13;1,1;;LF;LF
xp;4118;4,6;;;LF
xq;5;0,7;LF;LF;LF
xr;98;2,1;;;LF
xs;205;2,6;;;LF
xt;19732;6,1;;;
xu;819;3,5;;;LF
xv;217;2,7;;;LF
xw;6;0,8;LF;LF;LF
xx;144;2,3;;;LF
xy;136;2,3;;;LF
xz;1;0,0;LF;LF;LF
ya;23543;6,3;;;
yä;9;0,9;LF;LF;LF
yå;1760;3,9;;;LF
yb;2044;4,0;;;LF
yc;107085;8,3;;HF;HF
yd;20581;6,2;;;
ye;5812;5,0;;;LF
yf;8289;5,3;;;
yg;41352;7,0;;;
yh;3146;4,3;;;LF
yi;1184;3,6;;;LF
yj;526;3,2;;;LF
yk;17084;6,0;;;
yl;25567;6,4;;;
ym;18258;6,1;;;
yn;20870;6,2;;;
yo;12253;5,7;;;
yö;101;2,1;;;LF
yp;13868;5,8;;;
yr;26537;6,4;;;
ys;47334;7,2;;;HF
yt;40219;6,9;;;
yu;232;2,7;;;LF
yv;4449;4,6;;;LF
yw;287;2,8;;;LF
yx;5481;4,9;;;LF
yy;452;3,1;;;LF
yz;26;1,4;;LF;LF
za;2153;4,1;;;LF
zä;5;0,7;LF;LF;LF
zb;13;1,1;;LF;LF
zc;2;0,2;LF;LF;LF
zd;2;0,2;LF;LF;LF
ze;1845;3,9;;;LF
zg;1;0,0;LF;LF;LF
zh;13;1,1;;LF;LF
zi;1726;3,9;;;LF
zj;1;0,0;LF;LF;LF
zk;17;1,2;;LF;LF
zl;58;1,8;;LF;LF
zm;22;1,3;;LF;LF
zn;27;1,4;;LF;LF
zo;1467;3,8;;;LF
zö;3;0,4;LF;LF;LF
zp;8;0,9;LF;LF;LF
zr;1;0,0;LF;LF;LF
zs;5;0,7;LF;LF;LF
zt;28;1,4;;LF;LF
zu;348;3,0;;;LF
zv;3;0,4;LF;LF;LF
zw;7;0,8;LF;LF;LF
zx;1;0,0;LF;LF;LF
zy;563;3,3;;;LF
zz;2237;4,1;;;LF
